iter	RMSE
0	83.07373621
1	81.34091013
2	79.69165164
3	78.19486388
4	76.80018064
5	75.51679921
6	74.31868497
7	73.25156931
8	72.26174955
9	71.36657637
10	70.51275054
11	69.74361665
12	69.01617166
13	68.35696982
14	67.75172859
15	67.19148806
16	66.68354982
17	66.21690883
18	65.78110281
19	65.38746966
20	65.03633424
21	64.70093004
22	64.3903254
23	64.11063628
24	63.84936082
25	63.61422474
26	63.39326508
27	63.18741057
28	62.99755669
29	62.81855959
30	62.66435142
31	62.51353932
32	62.37746248
33	62.25043724
34	62.12610561
35	62.00621976
36	61.90303889
37	61.81134973
38	61.71517886
39	61.63024433
40	61.54858504
41	61.47018419
42	61.39900564
43	61.33208882
44	61.27114973
45	61.20871399
46	61.14687924
47	61.08653715
48	61.00777522
49	60.95892124
50	60.89949814
51	60.83865495
52	60.77465544
53	60.72760055
54	60.67686473
55	60.62800466
56	60.58440369
57	60.54047863
58	60.50093569
59	60.45055262
60	60.41724577
61	60.38451635
62	60.3536389
63	60.32372747
64	60.2988472
65	60.26979769
66	60.24448259
67	60.18068545
68	60.1473002
69	60.10413665
70	60.06743884
71	60.0124843
72	59.95040335
73	59.92258557
74	59.8937257
75	59.86656335
76	59.80022721
77	59.75808862
78	59.74427975
79	59.7132033
80	59.68385665
81	59.66759076
82	59.64305114
83	59.6017233
84	59.56094099
85	59.52334149
86	59.45836816
87	59.42723029
88	59.40170076
89	59.36163229
90	59.32762753
91	59.28149717
92	59.22794193
93	59.19016514
94	59.16613118
95	59.14892015
96	59.10388063
97	59.06141421
98	59.04903066
99	59.02455057
100	58.97800761
101	58.95544798
102	58.90943935
103	58.88709411
104	58.86264481
105	58.8383147
106	58.81500973
107	58.78579222
108	58.76823611
109	58.73804356
110	58.71548079
111	58.67595588
112	58.66119676
113	58.64065698
114	58.61993899
115	58.6019282
116	58.57178461
117	58.53164673
118	58.49308023
119	58.44447173
120	58.41330903
121	58.37861887
122	58.32320481
123	58.28705568
124	58.26315327
125	58.22109837
126	58.20151058
127	58.17742913
128	58.11117635
129	58.07254782
130	58.04438155
131	58.01626566
132	57.96199866
133	57.93620495
134	57.90666143
135	57.88853426
136	57.86810504
137	57.82158569
138	57.80885888
139	57.78623963
140	57.76604265
141	57.75327754
142	57.69917018
143	57.68052496
144	57.65049592
145	57.60411936
146	57.58996394
147	57.57007606
148	57.53772188
149	57.50349927
150	57.46541886
151	57.44973395
152	57.42464142
153	57.41090714
154	57.39367969
155	57.36253543
156	57.34058557
