iter	RMSE
157	57.31298292
158	57.28692588
159	57.25679499
160	57.22505743
161	57.21315758
162	57.19437605
163	57.16133721
164	57.14729514
165	57.1367305
166	57.10644154
167	57.06267413
168	57.04311476
169	57.01008105
170	56.99410418
171	56.96616787
172	56.92872321
173	56.91860425
174	56.89845006
175	56.88280437
176	56.84262176
177	56.82266535
178	56.80380349
179	56.77916523
180	56.75042231
181	56.72076841
182	56.69692706
183	56.66277976
184	56.63666386
185	56.62162487
186	56.58555537
187	56.55914765
188	56.53357595
189	56.50789827
190	56.48977846
191	56.46378778
192	56.45619982
193	56.42656
194	56.3890056
195	56.37478845
196	56.3448682
197	56.33419087
198	56.30708315
199	56.28900501
200	56.25651834
201	56.22862724
202	56.20788936
203	56.18160623
204	56.16036586
205	56.14053025
206	56.11122754
207	56.10238473
208	56.07094747
209	56.05178073
210	56.02718085
211	56.00392922
212	55.98337215
213	55.9685177
214	55.95405909
215	55.91805172
216	55.90149368
217	55.88290467
218	55.85531624
219	55.83781139
220	55.81347455
221	55.79498246
222	55.77786676
223	55.75263222
224	55.73624712
225	55.7246934
226	55.70080185
227	55.68622394
228	55.65119684
229	55.63123114
230	55.58801148
231	55.57139955
232	55.55609929
233	55.52100803
234	55.49970639
235	55.46494352
236	55.43774173
237	55.42675549
238	55.40487778
239	55.38355352
240	55.35711708
241	55.33946583
242	55.3160912
243	55.27987123
244	55.25659864
245	55.2345118
246	55.21667224
247	55.19532914
248	55.18114487
249	55.14581267
250	55.12436286
251	55.10694181
252	55.08100588
253	55.05633014
254	55.02279574
255	55.00516902
256	54.98413125
257	54.95728121
258	54.93372985
259	54.89852693
260	54.88513152
261	54.85940327
262	54.8287789
263	54.81003942
264	54.78839987
265	54.77508117
266	54.76125245
267	54.74597017
268	54.73538435
269	54.70621635
270	54.69374103
271	54.67652083
272	54.65254426
273	54.63354436
274	54.60975331
275	54.59326502
276	54.56933985
277	54.55613916
278	54.53022659
279	54.51925364
280	54.48977323
281	54.46520683
282	54.44104423
283	54.41755879
284	54.39566368
285	54.37310576
286	54.350413
287	54.32477435
288	54.30497378
289	54.27031594
290	54.25231466
291	54.23865232
292	54.22239302
293	54.19764643
294	54.18472398
295	54.17451191
296	54.15638748
297	54.13934938
298	54.12426756
299	54.11348525
300	54.09047834
301	54.06236569
302	54.04425867
303	54.01497995
304	53.99486549
305	53.98017249
306	53.96552285
307	53.95847146
308	53.94660086
309	53.93225771
310	53.91470618
311	53.89705963
312	53.8798296
313	53.86398764
314	53.83382543
315	53.81221012
316	53.78786876
317	53.76724263
318	53.74017588
319	53.71417016
320	53.69598764
321	53.67629319
322	53.65557679
323	53.63505988
324	53.62130619
325	53.59651264
326	53.58699264
327	53.56417562
328	53.53863212
329	53.51969552
330	53.49963122
331	53.48661498
332	53.47195864
333	53.45629461
334	53.43858452
335	53.42702846
336	53.40129419
337	53.39481885
338	53.37931695
339	53.36787217
340	53.35761063
341	53.34117214
342	53.3152676
343	53.30287273
344	53.27936137
345	53.27125595
346	53.24866818
347	53.23261392
348	53.21316659
349	53.1934354
350	53.16897321
351	53.15630834
352	53.13538026
353	53.12191434
354	53.11335544
355	53.08451764
356	53.06871881
357	53.05372745
358	53.04492599
359	53.03460917
360	53.00809721
361	52.99714262
362	52.9848023
363	52.96928934
364	52.96001309
365	52.92863484
366	52.90893692
367	52.89329711
368	52.88599609
369	52.86753623
370	52.84203287
371	52.82233239
372	52.80813822
373	52.79287126
374	52.77930173
375	52.7695126
376	52.75596706
377	52.74003457
378	52.726256
379	52.71355893
380	52.69424547
381	52.67716967
382	52.65417424
383	52.6394014
384	52.62151933
385	52.60308956
386	52.57928282
387	52.56486234
388	52.56002049
389	52.54128552
390	52.53030519
391	52.52733547
392	52.50846001
393	52.49645618
394	52.47198419
395	52.45400816
396	52.43602722
397	52.41779252
398	52.39491556
399	52.36058453
